accuracy,loss,val_accuracy,val_loss
0.475862056016922,1.0860947370529175,0.45945945382118225,1.0808979272842407
0.5241379141807556,1.069551944732666,0.5135135054588318,1.0694464445114136
0.5931034684181213,1.0584533214569092,0.5405405163764954,1.059401273727417
0.6068965792655945,1.0367525815963745,0.5405405163764954,1.0440667867660522
0.6275861859321594,1.015075445175171,0.5405405163764954,1.028325080871582
0.6551724076271057,0.9918252825737,0.5405405163764954,1.0032645463943481
0.6482758522033691,0.9610233902931213,0.5405405163764954,0.9752081632614136
0.682758629322052,0.914632260799408,0.5675675868988037,0.945417046546936
0.6758620738983154,0.8740538358688354,0.5675675868988037,0.9111948609352112
0.6689655184745789,0.8432056307792664,0.5675675868988037,0.8820375204086304
0.6758620738983154,0.8008038401603699,0.5405405163764954,0.8543338775634766
0.7034482955932617,0.7609902024269104,0.5405405163764954,0.837374210357666
0.6758620738983154,0.7335247993469238,0.5405405163764954,0.8109357357025146
0.682758629322052,0.7017889022827148,0.5405405163764954,0.7745160460472107
0.682758629322052,0.6650281548500061,0.5405405163764954,0.746046245098114
0.7448275685310364,0.6378862857818604,0.5675675868988037,0.7118978500366211
0.7241379022598267,0.618413507938385,0.7027027010917664,0.695106029510498
0.7655172348022461,0.5776430368423462,0.7297297120094299,0.6542383432388306
0.8068965673446655,0.5613992214202881,0.7297297120094299,0.6246858239173889
0.7862069010734558,0.5271506905555725,0.7837837934494019,0.5932365655899048
0.8137931227684021,0.5000482201576233,0.7297297120094299,0.5851812362670898
0.8068965673446655,0.49643149971961975,0.7837837934494019,0.5615280866622925
0.8137931227684021,0.4677257537841797,0.8108108043670654,0.5412793755531311
0.8275862336158752,0.45089080929756165,0.8108108043670654,0.5345956087112427
0.834482729434967,0.4382873773574829,0.7837837934494019,0.5282161235809326
0.800000011920929,0.45342981815338135,0.7837837934494019,0.5279926061630249
0.7931034564971924,0.4614983797073364,0.8108108043670654,0.5107234120368958
0.800000011920929,0.4135655462741852,0.8108108043670654,0.48113080859184265
0.8413792848587036,0.40164414048194885,0.8108108043670654,0.47534823417663574
0.8413792848587036,0.41731610894203186,0.8108108043670654,0.46572309732437134
0.834482729434967,0.4206731617450714,0.7297297120094299,0.5385725498199463
0.8206896781921387,0.37536928057670593,0.8108108043670654,0.4608292579650879
0.8068965673446655,0.44459718465805054,0.8108108043670654,0.4651496410369873
0.8413792848587036,0.3891325294971466,0.7567567825317383,0.5122137069702148
0.8620689511299133,0.3744916319847107,0.8108108043670654,0.44966286420822144
0.8551723957061768,0.35095569491386414,0.8108108043670654,0.47368693351745605
0.834482729434967,0.390458881855011,0.7837837934494019,0.44383662939071655
0.8482758402824402,0.34524574875831604,0.8108108043670654,0.44007357954978943
0.8275862336158752,0.35648971796035767,0.8108108043670654,0.4466317594051361
0.8758620619773865,0.3283587396144867,0.8108108043670654,0.4224441647529602
0.882758617401123,0.3290213346481323,0.8108108043670654,0.46543553471565247
0.834482729434967,0.34768763184547424,0.7837837934494019,0.4176929295063019
0.834482729434967,0.3427695035934448,0.8108108043670654,0.4257815182209015
0.834482729434967,0.3433023691177368,0.837837815284729,0.4111970067024231
0.8551723957061768,0.3486126661300659,0.837837815284729,0.5116665363311768
0.8689655065536499,0.34804847836494446,0.8108108043670654,0.45325180888175964
0.882758617401123,0.2994414269924164,0.7837837934494019,0.40725037455558777
0.8689655065536499,0.3082161247730255,0.8108108043670654,0.3989863395690918
0.8758620619773865,0.3141282796859741,0.837837815284729,0.40221697092056274
0.8620689511299133,0.3138415813446045,0.7567567825317383,0.5588551163673401
0.834482729434967,0.3849163353443146,0.8108108043670654,0.44059252738952637
0.8689655065536499,0.3279247283935547,0.8108108043670654,0.41405054926872253
0.8965517282485962,0.28818175196647644,0.7837837934494019,0.4141708314418793
0.8758620619773865,0.2933758497238159,0.8108108043670654,0.39030301570892334
0.8896551728248596,0.30616503953933716,0.8108108043670654,0.3942604959011078
0.9103448390960693,0.2727009952068329,0.837837815284729,0.45913633704185486
0.8896551728248596,0.2928304374217987,0.8108108043670654,0.39716118574142456
0.8758620619773865,0.2876989245414734,0.8108108043670654,0.38579046726226807
0.8896551728248596,0.26846078038215637,0.8108108043670654,0.3996964991092682
0.9172413945198059,0.2542782127857208,0.7837837934494019,0.38336843252182007
0.8758620619773865,0.2912701666355133,0.8108108043670654,0.4000401496887207
0.8689655065536499,0.28923386335372925,0.7567567825317383,0.3893887400627136
0.8965517282485962,0.27170345187187195,0.7837837934494019,0.3716696798801422
0.8758620619773865,0.2645086944103241,0.8108108043670654,0.4051901698112488
0.9034482836723328,0.2502305209636688,0.7837837934494019,0.36844947934150696
0.8689655065536499,0.29640844464302063,0.7837837934494019,0.36615702509880066
0.9103448390960693,0.2424461841583252,0.837837815284729,0.41384822130203247
0.882758617401123,0.3002581298351288,0.837837815284729,0.371004581451416
0.8689655065536499,0.28025683760643005,0.7837837934494019,0.3714815378189087
0.8965517282485962,0.25003233551979065,0.7837837934494019,0.3902647793292999
0.9172413945198059,0.23742733895778656,0.7837837934494019,0.37319478392601013
0.8965517282485962,0.24167317152023315,0.7837837934494019,0.3571792542934418
0.8896551728248596,0.25832346081733704,0.837837815284729,0.40853357315063477
0.8620689511299133,0.27957025170326233,0.837837815284729,0.35773611068725586
0.8620689511299133,0.26722824573516846,0.8648648858070374,0.34466591477394104
0.9448275566101074,0.22560280561447144,0.837837815284729,0.3868800103664398
