Model,Accuracy,Precision,Recall,F1_Score
Random Forest,0.8913043478260869,0.889557453416149,0.8913043478260869,0.8897809159936161
Neural Network,0.9565217391304348,0.9578804347826086,0.9565217391304348,0.9565217391304348
