Feature,Importance
Onion,0.2595704538828854
Tomato,0.2523164603951451
Brinjal,0.13275639902941624
Total Guard Variety Vegetables,0.1036845734501763
Green chillies,0.08156222106165552
Cluster Beans,0.04962978371689682
Beans,0.047121016328445425
Total Leafy Vegetables,0.039365214290832784
Potato,0.0339938778445464
