Taluks,Potato,Tomato,Brinjal,Beans,Cluster Beans,Onion,Green chillies,Total Leafy Vegetables,Total Guard Variety Vegetables
Chitradurga,0,3197,669,549,187,174070,2694,504,12378
Holalkere,0,2246,739,0,0,46369,488,290,282
Hosadurga,0,7600,1815,1060,207,27545,1130,566,4478
Hiriyur,0,9242,700,0,0,78894,0,0,0
Harihar,0,1920,300,30,25,1870,750,505,1341
Jagaluru,0,1958,775,22,38,58875,3190,198,359
Davanagere,182,20261,1566,43,24,1857,1285,252,2933
Honnali,17,8580,0,0,0,0,1560,5,410
Channagiri,113,279,41,1,0,4762,197,11,101
Nyamati,17,31720,900,1600,440,10200,5000,96,2274
Sagara,0,0,0,0,0,0,16,92,40
Soraba,60,38,71,0,0,0,20,300,43
Shikaripura,0,2232,536,93,4,47,1087,139,282
Hosanagar,0,0,0,0,0,0,0,100,0
Thirthahalli,0,0,0,0,0,0,0,41,0
Shimoga,0,551,134,23,25,0,225,146,348
Bhadravathi,0,0,0,0,0,0,4,6,13
Kundapur,0,0,20,0,0,0,8,820,467
Udupi,0,0,0,0,0,0,0,432,214
Karkala,0,0,20,0,0,0,0,756,292
Bynduru,0,0,0,0,0,0,0,345,156
Bramhavara,0,0,314,0,0,0,75,1036,662
Kapu,0,0,294,0,0,0,8,237,117
Hebri,0,0,0,0,0,0,0,237,117
Sringeri,,,,,,,,,
Koppa,,,,,,,,,
Narasimharajapura,0,0,0,0,0,0,7,0,0
Tarikere,53675,30132,29,1070,0,744,58,0,274
Kadur,22775,24791,735,286,58,43872,327,38,1851
Chikmagalur,3028,34650,1365,1962,9,13564,1512,30,1451
Mudigere,0,0,0,0,0,0,0,0,0
Ajjampura,5919,7218,46,79,1,116707,106,0,32
Chiknayakanahalli,0,1848,235,45,0,961,1961,8,93
Sira,44,10524,1225,176,0,12867,4260,92,3646
Pavagada,0,215490,5454,466,37,1207,16045,16,1195
Madhugiri,215,4612,960,905,0,180,400,14,449
Koratagere,0,3369,386,144,0,0,400,27,247
Tumkur,45,4455,690,344,0,8,295,26,158
Gubbi,14,1659,243,527,0,24,381,25,543
Tiptur,35,2440,194,191,0,0,250,62,243
Turuvekere,0,945,4,64,0,4,188,1,19
Kunigal,0,2684,671,282,0,21,426,5,1672
Srinivaspura,4907,178567,2376,804,2,401,1597,1740,2968
Kolar,7112,114432,2134,1711,2,59,2324,2294,5254
Malur,12024,98625,2309,10725,2,180,1594,5633,9025
Bangarpet,8545,104295,1537,2729,37,87,1140,463,1855
Mulabagilu,18981,142008,6059,3328,2,172,3539,1075,4631
K.G.F,6182,43277,1797,1202,251,66,925,290,1599
Bangalore (North),0,8000,490,2250,60,0,300,30,2050
Bangalore-South,0,6000,400,400,300,0,600,400,0
Anekal,950,22500,1350,5950,600,200,380,5400,650
Bangalore-East,120,340,260,320,10,0,120,250,100
Yelahanka,40,5850,510,1680,100,0,620,780,4750
Nelamangala,2760,7317,508,2970,174,0,546,712,3467
Doddaballapura,6755,32878,918,2730,15,1013,752,2398,4114
Devanahalli,2960,8770,341,2064,0,230,616,1034,5812
Hoskote,5818,16185,870,2888,198,76,744,1425,2340
Krishnarajpet,33,9837,935,1915,0,7,187,4,5555
Nagamangala,859,12882,865,944,0,1332,206,0,584
Pandavpura,4,28984,2012,5328,41,199,682,45,7147
Srirangapatna,16,12250,1063,1842,0,8,305,91,2453
Mandya,41,14648,2000,1359,0,325,1282,34,1707
Maddur,21,2457,218,68,0,22,140,15,459
Malavalli,36,17768,1223,1659,8,155,1115,15,2770
Sakleshpura,0,0,0,660,0,0,3840,0,0
Belur,10964,7625,1425,5869,18,0,4290,1250,2635
Arsikere,10519,15881,619,420,0,1043,719,209,1232
Hassan,79899,2451,72,1060,11,148,1210,170,9078
Alur,1309,330,75,40,0,0,256,70,158
Arkalgud,15816,1014,195,410,0,0,5580,0,1977
Holenarasipura,8916,11250,4100,2650,413,140,10080,5375,30320
Channarayapatna,7268,4669,0,298,0,0,1100,318,1000
Mangalore,5,0,0,0,0,0,0,29,6
Bantwal,0,0,10,0,0,0,2,48,42
Belthangady,0,0,0,0,0,0,5,5,37
Puttur,0,0,0,0,0,0,1,17,0
Sulya,0,0,0,0,0,0,0,19,20
Mudabidri,0,0,0,0,0,0,0,8,2
Kadaba,0,0,0,0,0,0,1,2,14
Madikeri,2,0,0,12,0,0,3,1,6
Somawarpet,269,0,10,0,0,0,209,0,30
Virajpet,33,0,0,0,0,0,0,0,0
Piriyapatna,2540,2367,275,226,0,7,4613,92,2522
Hunsur,84,20385,614,998,8,22,8750,11,6436
K.R.Nagar,112,12956,710,2335,0,0,2740,29,3862
Mysuru,44,49270,4563,4785,95,0,2310,52,9931
Heggadadevanakote,60,20396,2874,1185,0,0,1398,4,2838
Nanjangud,205,52107,3410,1832,35,845,5085,102,3959
T.Narasipura,119,8774,850,826,0,140,438,52,1369
Saraguru,0,6163,235,175,0,4,658,1,295
Gundlupet,7137,81822,4582,6560,0,21433,3481,55,3195
Chamarajanagara,1074,53808,2885,2117,0,8085,4533,40,6530
Yalandur,93,1259,354,174,0,534,30,21,187
Kollegala,197,6798,1618,454,0,20708,381,29,365
Kollegala(Hanur),7412,10936,3848,0,0,46076,3781,23,1135
Gauribidanur,2056,36671,5729,1908,0,1632,7006,77,5475
Chikballapur,19400,16860,898,3213,0,318,2208,0,3201
Gudibande,11382,26991,2424,2458,0,942,367,562,1075
Bagepalli,1892,33144,2420,2424,24,5042,1089,0,1689
Shidlagatta,7748,11115,588,1196,0,7900,780,196,3061
Chinthamani,8266,153583,2073,3053,0,12526,3311,2185,4725
Magadi,9,1855,1262,1404,1,24,314,11,1365
Ramanagar,54,722,609,423,6,20,71,50,518
Channapatna,12,1356,131,107,0,26,575,12,558
Kanakpura,0,1316,133,334,0,23,154,5,253
Yadgir,36,1072,557,105,108,2617,89,17,654
Shahapur,185,2355,2160,360,361,1041,3580,54,737
Shorapur,192,5218,1829,96,92,6363,1416,181,809
Gurumithakala,17,532,396,60,60,1536,65,10,393
Vadagera,112,1475,1143,200,200,720,2600,34,352
Hunisigi,56,2160,1134,60,60,2542,1040,54,245
State Total,437286,2452402,269849,131220,16127,3536327,688381,95457,345137
